time,z_0,z_1,z_2,z_3,x_0,x_1,x_2,x_3,y_0,y_1,y_2,y_3,epsilon
7588628,-34.28,0.89,-3.18,2.29,-32.82,0.48,-4.25,0.97,-1.46,0.41,1.07,1.32,0.32
7610800,-34.78,1.29,-3.66,0.14,-32.88,0.50,-4.22,0.94,-1.90,0.78,0.56,-0.80,0.17
7632960,-34.22,0.96,-1.48,0.20,-32.92,0.52,-4.11,0.91,-1.30,0.45,2.63,-0.71,0.75
7655132,-34.58,0.69,-2.35,0.84,-32.97,0.52,-4.05,0.91,-1.61,0.17,1.70,-0.07,0.33
7677308,-34.05,0.82,-4.14,-0.12,-33.01,0.53,-4.05,0.87,-1.04,0.29,-0.09,-0.99,0.12
7699500,-34.49,0.32,-3.79,0.95,-33.06,0.53,-4.04,0.87,-1.43,-0.21,0.26,0.07,0.05
7721652,-34.07,0.60,-3.79,0.47,-33.09,0.53,-4.03,0.86,-0.97,0.06,0.25,-0.38,0.04
7743808,-34.04,0.25,-3.16,0.29,-33.13,0.53,-4.01,0.84,-0.91,-0.28,0.85,-0.55,0.12
7765988,-34.25,0.65,-3.18,0.79,-33.16,0.53,-3.98,0.84,-1.09,0.12,0.80,-0.04,0.09
7788152,-33.97,0.92,-4.17,0.11,-33.19,0.54,-3.99,0.82,-0.78,0.38,-0.18,-0.71,0.07
7810336,-34.30,1.04,-3.24,-0.35,-33.23,0.55,-3.96,0.78,-1.07,0.48,0.73,-1.13,0.20
7832520,-34.53,0.57,-2.55,0.43,-33.27,0.56,-3.92,0.77,-1.27,0.02,1.37,-0.34,0.23
7854708,-34.76,0.64,-3.34,2.29,-33.31,0.56,-3.91,0.81,-1.45,0.08,0.56,1.48,0.28
7876896,-35.05,0.75,-3.51,1.30,-33.35,0.57,-3.90,0.83,-1.70,0.18,0.39,0.47,0.09
7899052,-34.19,0.50,-2.93,1.01,-33.38,0.57,-3.87,0.83,-0.81,-0.08,0.94,0.18,0.10
7921216,-34.49,1.43,-2.79,2.08,-33.41,0.60,-3.84,0.86,-1.08,0.83,1.05,1.21,0.29
7943412,-34.58,1.30,-3.80,1.13,-33.45,0.61,-3.84,0.87,-1.13,0.68,0.04,0.26,0.04
7965580,-34.94,1.14,-3.79,1.34,-33.49,0.63,-3.84,0.88,-1.45,0.51,0.06,0.46,0.07
7987744,-34.28,0.79,-3.18,-0.38,-33.52,0.63,-3.83,0.85,-0.76,0.16,0.65,-1.23,0.20
8009952,-34.57,1.00,-2.50,0.50,-33.54,0.64,-3.80,0.85,-1.02,0.37,1.29,-0.34,0.20
8032112,-33.81,0.76,-4.18,0.82,-33.57,0.64,-3.81,0.84,-0.25,0.12,-0.38,-0.02,0.02
8054296,-34.49,0.28,-2.49,0.75,-33.59,0.64,-3.78,0.84,-0.90,-0.36,1.29,-0.09,0.18
8076484,-34.88,0.85,-3.76,-0.08,-33.63,0.64,-3.78,0.82,-1.26,0.21,0.02,-0.90,0.11
8098664,-34.68,1.61,-4.12,-0.03,-33.66,0.66,-3.78,0.80,-1.02,0.95,-0.34,-0.83,0.12
8120852,-34.33,1.19,-3.98,-0.11,-33.68,0.67,-3.79,0.78,-0.65,0.52,-0.20,-0.89,0.10
8143064,-33.88,0.88,-1.74,1.11,-33.70,0.68,-3.75,0.79,-0.18,0.20,2.01,0.32,0.41
8165212,-35.75,1.79,-2.23,1.45,-33.74,0.70,-3.72,0.81,-2.02,1.09,1.49,0.64,0.36
8187388,-35.42,1.40,-4.63,-0.05,-33.78,0.71,-3.74,0.79,-1.64,0.69,-0.89,-0.84,0.21
8209604,-35.32,1.44,-3.98,1.33,-33.82,0.72,-3.74,0.80,-1.50,0.72,-0.24,0.53,0.09
8231784,-33.96,1.42,-4.37,0.55,-33.84,0.74,-3.75,0.80,-0.12,0.69,-0.61,-0.25,0.05
8253988,-33.74,0.57,-2.55,-0.26,-33.85,0.73,-3.73,0.78,0.11,-0.17,1.18,-1.04,0.24
8276204,-34.53,0.58,-3.07,-0.11,-33.87,0.73,-3.72,0.76,-0.66,-0.16,0.65,-0.87,0.12
8298416,-34.93,0.97,-4.53,0.41,-33.90,0.74,-3.73,0.75,-1.03,0.23,-0.80,-0.34,0.10
8320604,-34.74,0.65,-3.04,0.12,-33.92,0.74,-3.72,0.74,-0.82,-0.09,0.68,-0.62,0.10
8342772,-35.30,1.35,-2.84,0.23,-33.96,0.75,-3.71,0.73,-1.34,0.60,0.87,-0.50,0.14
8364932,-35.10,1.12,-2.55,-0.26,-33.98,0.75,-3.69,0.72,-1.12,0.37,1.14,-0.98,0.25
8387140,-34.73,0.79,-3.88,1.71,-34.01,0.76,-3.69,0.73,-0.73,0.03,-0.19,0.98,0.11
8409324,-34.80,0.95,-2.93,1.60,-34.03,0.77,-3.68,0.75,-0.77,0.19,0.75,0.86,0.14
8431480,-34.69,1.04,-3.47,2.08,-34.05,0.78,-3.68,0.77,-0.64,0.26,0.21,1.31,0.18
8453672,-35.09,1.38,-3.73,0.08,-34.08,0.79,-3.68,0.76,-1.01,0.60,-0.05,-0.68,0.07
8475860,-35.41,1.04,-4.21,-0.60,-34.11,0.79,-3.69,0.74,-1.30,0.25,-0.53,-1.33,0.24
8498084,-34.46,1.50,-3.22,-0.35,-34.13,0.80,-3.68,0.72,-0.33,0.70,0.46,-1.07,0.15
8520292,-34.74,1.06,-3.05,0.23,-34.15,0.80,-3.67,0.71,-0.59,0.25,0.62,-0.48,0.07
8542484,-35.39,0.77,-4.61,0.85,-34.18,0.81,-3.68,0.72,-1.21,-0.04,-0.93,0.14,0.12
8564700,-34.98,1.15,-4.18,0.70,-34.21,0.81,-3.69,0.72,-0.77,0.34,-0.49,-0.01,0.04
8586896,-34.56,1.05,-3.74,0.11,-34.23,0.82,-3.69,0.71,-0.33,0.23,-0.05,-0.60,0.04
8609092,-35.06,0.95,-3.22,1.10,-34.25,0.82,-3.69,0.71,-0.81,0.13,0.47,0.39,0.05
8631268,-34.80,1.29,-5.11,0.12,-34.27,0.83,-3.71,0.70,-0.53,0.46,-1.41,-0.58,0.24
8653488,-34.57,1.15,-3.95,-1.36,-34.29,0.83,-3.71,0.68,-0.28,0.32,-0.24,-2.03,0.42
8675736,-35.29,0.81,-3.80,0.47,-34.32,0.83,-3.71,0.67,-0.98,-0.02,-0.09,-0.20,0.02
8697928,-35.71,1.47,-4.17,0.43,-34.35,0.84,-3.72,0.67,-1.36,0.63,-0.45,-0.24,0.07
8720136,-35.01,1.40,-3.57,-0.43,-34.37,0.85,-3.72,0.65,-0.64,0.55,0.15,-1.08,0.13
8742344,-35.04,0.89,-3.19,0.60,-34.39,0.85,-3.71,0.65,-0.65,0.04,0.52,-0.06,0.04
8764508,-35.41,1.11,-3.98,1.08,-34.42,0.86,-3.72,0.66,-0.99,0.26,-0.27,0.42,0.05
8786696,-34.63,1.25,-3.21,0.26,-34.43,0.86,-3.71,0.65,-0.20,0.39,0.50,-0.40,0.04
8808888,-35.05,0.99,-2.87,0.24,-34.45,0.86,-3.70,0.65,-0.60,0.13,0.83,-0.41,0.09
8831072,-34.91,0.71,-4.21,0.95,-34.47,0.87,-3.71,0.65,-0.44,-0.15,-0.51,0.29,0.04
8853280,-35.81,0.95,-2.67,1.30,-34.50,0.87,-3.69,0.66,-1.31,0.07,1.02,0.64,0.18
8875456,-35.05,1.23,-2.44,0.08,-34.52,0.88,-3.68,0.65,-0.54,0.36,1.24,-0.58,0.19
8897668,-35.21,1.16,-1.54,1.73,-34.53,0.88,-3.65,0.67,-0.67,0.27,2.11,1.06,0.56
8919860,-35.26,1.77,-1.95,2.18,-34.55,0.90,-3.63,0.69,-0.71,0.87,1.68,1.50,0.52
8942068,-34.97,1.24,-1.18,1.10,-34.56,0.91,-3.60,0.69,-0.41,0.33,2.43,0.41,0.60
8964384,-35.04,1.31,1.44,2.00,-34.57,0.92,-3.54,0.71,-0.47,0.39,4.98,1.29,2.62
8986696,-35.21,1.12,3.42,2.29,-34.57,0.92,-3.45,0.73,-0.64,0.19,6.87,1.56,4.91
9009068,-35.17,1.70,6.27,0.44,-34.58,0.93,2.55,0.55,-0.59,0.77,3.72,-0.11,0.55
9031324,-35.34,2.04,11.86,-1.05,-34.56,0.94,6.11,-0.06,-0.78,1.10,5.75,-0.99,2.14
9053768,-34.48,1.45,18.29,0.44,-34.52,0.95,14.21,0.27,0.04,0.50,4.08,0.17,0.57
9076100,-34.75,1.90,22.35,5.02,-34.45,0.97,17.46,2.17,-0.30,0.93,4.89,2.85,1.94
9098540,-34.89,1.89,27.56,6.90,-34.37,0.99,24.19,5.33,-0.52,0.89,3.37,1.58,0.48
9121020,-31.69,1.12,24.76,6.55,-34.25,1.02,24.42,5.82,2.56,0.10,0.34,0.73,0.17
9143240,-30.02,0.79,25.80,1.98,-34.11,1.03,24.82,4.72,4.09,-0.24,0.98,-2.74,0.94
9165592,-29.78,1.26,35.37,-0.95,-33.94,1.03,27.17,3.46,4.16,0.23,8.21,-4.41,7.09
9188016,-29.80,1.04,50.89,0.56,-33.72,1.04,31.51,2.93,3.92,0.00,19.37,-2.37,31.42
9210464,-29.94,2.21,54.76,8.43,-33.53,1.07,46.41,6.45,3.59,1.15,8.35,1.98,2.93
9233016,-27.31,1.67,46.64,4.03,-33.29,1.10,46.64,4.03,5.98,0.57,0.00,-0.00,0.71
9255380,-24.94,1.06,46.37,5.48,-33.02,1.11,46.44,5.08,8.08,-0.06,-0.08,0.40,1.30
9277804,-24.53,1.54,52.06,12.06,-32.74,1.14,52.06,12.06,8.21,0.40,0.00,0.00,1.33
9300328,-23.39,1.89,55.34,9.69,-27.38,1.58,55.34,9.69,3.99,0.31,0.00,-0.00,0.14
9322808,-22.44,2.12,61.05,9.15,-25.46,1.80,61.05,9.15,3.02,0.32,0.00,-0.00,0.12
9345244,-20.34,2.24,64.72,11.77,-23.92,1.95,63.70,11.04,3.58,0.29,1.02,0.73,0.23
9367768,-18.26,2.72,59.13,10.81,-22.54,2.14,61.78,10.94,4.28,0.57,-2.65,-0.14,0.70
9390128,-15.85,2.37,64.20,11.30,-21.17,2.22,62.50,11.05,5.32,0.15,1.70,0.25,0.67
9412540,-14.62,3.10,70.70,9.50,-19.97,2.38,64.37,10.69,5.36,0.72,6.33,-1.20,3.70
9434916,-13.21,3.80,65.48,9.92,-18.87,2.60,64.58,10.55,5.67,1.20,0.90,-0.63,0.68
9457184,-9.28,4.38,52.89,9.28,-17.58,2.84,62.75,10.35,8.29,1.54,-9.86,-1.07,9.56
9479464,-8.25,3.92,45.80,8.61,-16.43,2.98,60.42,10.11,8.18,0.93,-14.62,-1.50,19.87
9501852,-6.73,4.49,45.59,7.50,-15.33,3.16,51.01,8.45,8.60,1.34,-5.42,-0.96,2.48
9524168,-3.51,4.90,36.87,5.79,-14.12,3.34,36.88,5.79,10.62,1.56,-0.01,-0.00,2.11
9546544,-3.42,3.91,31.31,-0.34,-7.88,3.68,31.31,-0.34,4.46,0.23,-0.00,-0.00,0.17
9568848,-4.89,3.44,38.56,-7.51,-6.71,3.59,38.56,-7.51,1.82,-0.15,0.00,-0.00,0.04
9591132,-2.70,3.45,38.93,-5.48,-5.52,3.53,38.83,-6.04,2.82,-0.08,0.10,0.56,0.13
9613372,-1.45,3.63,33.44,-3.50,-4.55,3.54,36.57,-4.97,3.09,0.09,-3.13,1.48,0.85
9635540,-2.85,4.98,37.69,1.47,-4.13,3.79,36.90,-3.07,1.28,1.19,0.79,4.53,1.54
9657704,-1.99,5.86,34.17,5.63,-3.69,4.10,36.27,-1.07,1.70,1.76,-2.11,6.71,3.91
9679952,-2.05,6.79,30.47,3.79,-3.36,4.45,32.52,2.07,1.30,2.34,-2.05,1.72,0.38
9702084,1.03,6.67,27.91,5.74,-2.75,4.72,30.71,3.51,3.78,1.95,-2.80,2.23,1.10
9724320,2.50,6.82,24.46,1.45,-2.10,4.94,26.55,2.14,4.61,1.88,-2.09,-0.69,0.61
9746468,3.20,6.56,18.20,-1.22,-1.53,5.10,23.21,0.80,4.73,1.46,-5.01,-2.02,2.20
9768716,3.70,5.83,16.53,-2.58,-1.00,5.16,18.76,-1.46,4.71,0.68,-2.23,-1.13,0.62
9791008,3.65,5.15,14.52,-3.42,-0.58,5.15,17.06,-2.24,4.23,0.00,-2.54,-1.18,0.80
9813176,6.49,4.55,9.39,-2.34,-0.02,5.10,14.87,-2.27,6.51,-0.55,-5.48,-0.07,2.94
9835328,8.42,3.22,3.05,0.20,0.58,4.97,12.24,-1.72,7.84,-1.74,-9.18,1.92,8.05
9857432,4.30,5.05,-3.07,-2.89,0.84,4.96,2.35,-2.47,3.45,0.09,-5.42,-0.41,1.27
9879660,3.76,4.63,-2.87,-0.75,1.03,4.93,-2.87,-0.75,2.73,-0.30,-0.00,0.00,0.14
9901796,3.17,4.48,-1.73,-1.91,1.14,4.90,-2.04,-1.59,2.03,-0.42,0.32,-0.32,0.09
9923960,3.38,4.50,-0.09,-1.53,1.26,4.88,-1.22,-1.56,2.12,-0.37,1.13,0.03,0.16
9945896,3.71,4.59,0.11,2.09,1.39,4.87,-0.83,-0.48,2.32,-0.28,0.93,2.57,0.63
9967816,3.75,3.98,-4.35,0.89,1.49,4.82,-1.63,-0.17,2.26,-0.85,-2.72,1.06,0.77
9989764,4.60,3.17,-1.36,2.05,1.63,4.75,-1.58,0.24,2.97,-1.58,0.22,1.80,0.49
10011672,4.25,3.43,-3.34,-0.44,1.73,4.69,-1.85,0.13,2.52,-1.26,-1.49,-0.58,0.37
10033672,5.15,2.91,-3.80,0.99,1.87,4.62,-2.12,0.25,3.29,-1.71,-1.69,0.74,0.56
10055668,4.49,3.60,-5.04,0.72,1.96,4.58,-2.46,0.30,2.53,-0.98,-2.58,0.41,0.74
10077652,2.71,4.05,-3.15,1.21,1.98,4.56,-2.53,0.40,0.74,-0.52,-0.61,0.81,0.11
10099772,3.58,5.89,-4.72,5.33,2.02,4.63,-2.74,0.88,1.56,1.26,-1.97,4.45,2.22
10121884,4.54,5.68,-6.06,2.21,2.09,4.67,-3.04,1.00,2.44,1.01,-3.02,1.22,1.10
10144076,3.49,5.82,-3.07,0.14,2.13,4.72,-3.06,0.46,1.35,1.10,-0.01,-0.32,0.06
10166240,2.40,5.91,-2.47,0.06,2.13,4.76,-2.83,0.30,0.27,1.15,0.36,-0.24,0.04
10188184,2.33,6.69,-4.64,2.58,2.12,4.83,-3.34,0.94,0.21,1.86,-1.31,1.64,0.38
10210152,3.49,6.47,-4.17,2.27,2.15,4.89,-3.52,1.23,1.34,1.58,-0.65,1.04,0.20
10232116,3.06,6.46,-2.23,-1.82,2.17,4.93,-3.29,0.69,0.90,1.53,1.06,-2.50,0.67
10254100,4.57,5.21,-2.73,-1.51,2.23,4.94,-3.20,0.35,2.34,0.28,0.47,-1.86,0.42
10276104,4.47,4.08,-4.40,-2.20,2.28,4.91,-3.36,0.02,2.19,-0.83,-1.04,-2.22,0.63
10298124,2.91,3.98,-4.08,-1.40,2.28,4.88,-3.44,-0.15,0.63,-0.90,-0.64,-1.26,0.20
10320176,3.47,3.49,-3.44,-0.38,2.30,4.84,-3.44,-0.17,1.17,-1.35,0.00,-0.21,0.07
10342188,4.92,2.87,-2.78,0.58,2.36,4.79,-3.37,-0.10,2.57,-1.92,0.60,0.68,0.27
10364204,4.21,2.93,-3.07,-0.60,2.39,4.74,-3.35,-0.15,1.81,-1.81,0.28,-0.45,0.15
10386244,3.19,3.57,-1.44,0.17,2.41,4.71,-3.19,-0.12,0.78,-1.13,1.76,0.29,0.33
10408272,2.60,4.54,-1.39,2.05,2.41,4.71,-3.06,0.04,0.20,-0.17,1.67,2.01,0.63
10430256,3.85,4.47,-2.18,2.56,2.43,4.71,-3.00,0.21,1.42,-0.25,0.82,2.36,0.62
10452272,4.73,4.91,-1.94,1.57,2.48,4.72,-2.93,0.30,2.25,0.19,0.99,1.28,0.34
10474252,3.64,5.04,-0.50,-0.92,2.50,4.72,-2.78,0.22,1.14,0.31,2.28,-1.14,0.64
10496244,3.30,5.54,-1.95,0.46,2.51,4.74,-2.74,0.24,0.79,0.80,0.78,0.22,0.09
10518184,3.49,4.76,-3.18,1.73,2.52,4.75,-2.76,0.32,0.97,0.01,-0.42,1.41,0.22
10540196,4.28,5.16,-2.21,-0.27,2.55,4.76,-2.73,0.29,1.74,0.40,0.52,-0.56,0.12
10562204,3.88,4.37,-0.75,-1.79,2.57,4.75,-2.63,0.19,1.31,-0.38,1.89,-1.97,0.74
10584244,3.85,4.42,-2.05,0.38,2.59,4.74,-2.61,0.20,1.26,-0.32,0.56,0.19,0.07
10606232,3.87,4.77,-1.77,1.16,2.61,4.74,-2.57,0.24,1.27,0.02,0.80,0.92,0.17
10628188,3.50,4.84,-4.38,1.33,2.61,4.75,-2.64,0.28,0.89,0.09,-1.74,1.04,0.41
10650124,3.28,4.42,-3.24,-0.95,2.61,4.74,-2.67,0.23,0.67,-0.32,-0.57,-1.18,0.18
10672148,4.65,3.91,-2.23,-0.29,2.64,4.73,-2.65,0.21,2.01,-0.81,0.42,-0.50,0.13
10694132,4.70,3.82,-3.07,1.08,2.67,4.71,-2.66,0.25,2.03,-0.90,-0.40,0.84,0.18
10716092,4.13,4.15,-2.35,1.77,2.68,4.71,-2.65,0.30,1.45,-0.56,0.30,1.47,0.26
10738056,4.97,4.15,-3.57,1.80,2.71,4.70,-2.68,0.35,2.26,-0.55,-0.89,1.45,0.39
10760040,4.16,4.07,-3.33,0.06,2.73,4.69,-2.70,0.34,1.44,-0.62,-0.62,-0.28,0.09
10782036,3.64,4.15,-4.05,-0.08,2.73,4.68,-2.75,0.33,0.91,-0.53,-1.30,-0.40,0.20
10804044,3.96,4.16,-3.02,2.00,2.74,4.68,-2.76,0.38,1.22,-0.52,-0.27,1.62,0.30
10826044,3.81,5.15,-2.99,1.62,2.74,4.69,-2.76,0.42,1.07,0.46,-0.23,1.20,0.17
10848032,3.26,5.52,-0.60,0.27,2.75,4.71,-2.70,0.42,0.51,0.81,2.10,-0.14,0.45
10870020,3.81,4.97,-0.67,-0.69,2.76,4.71,-2.64,0.38,1.05,0.26,1.97,-1.07,0.51
10892028,3.91,4.55,-2.84,1.25,2.77,4.71,-2.64,0.41,1.14,-0.16,-0.20,0.84,0.10
10914048,3.70,4.06,-3.98,2.06,2.77,4.71,-2.68,0.45,0.93,-0.65,-1.31,1.61,0.44
10936060,2.65,5.60,-0.55,2.49,2.76,4.73,-2.62,0.51,-0.11,0.87,2.07,1.98,0.82
10958076,3.80,4.97,-4.89,1.04,2.76,4.74,-2.68,0.52,1.03,0.23,-2.20,0.52,0.52
10980064,4.63,3.92,-2.38,-1.11,2.78,4.72,-2.67,0.48,1.85,-0.80,0.29,-1.59,0.34
11002100,5.15,3.71,-1.60,2.24,2.81,4.71,-2.64,0.52,2.34,-1.00,1.04,1.72,0.52
11024204,4.81,3.06,1.30,1.77,2.84,4.69,-2.55,0.55,1.97,-1.63,3.85,1.22,1.72
11046356,5.27,2.76,2.95,-0.02,2.88,4.67,-2.41,0.54,2.39,-1.91,5.36,-0.55,3.01
11068576,3.68,4.09,-1.88,2.96,2.88,4.66,-2.08,2.04,0.80,-0.57,0.20,0.92,0.05
11090716,3.35,4.87,1.18,1.47,2.88,4.67,-0.83,1.82,0.46,0.20,2.01,-0.35,0.26
11112680,4.11,4.03,2.34,0.27,2.91,4.67,0.04,1.39,1.20,-0.64,2.29,-1.12,0.51
11134764,3.63,3.95,10.18,-0.92,2.95,4.66,2.24,0.89,0.69,-0.71,7.94,-1.81,5.21
11156932,6.21,1.92,15.08,-1.28,3.04,4.62,4.55,0.50,3.17,-2.70,10.54,-1.78,9.71
11179168,6.21,2.53,22.00,-2.12,3.12,4.59,15.72,-1.18,3.09,-2.06,6.28,-0.94,1.72
11201580,1.88,2.52,36.00,-7.65,3.17,4.55,35.99,-7.64,-1.29,-2.03,0.01,-0.00,0.11
11223888,6.86,4.47,41.65,-20.38,3.37,4.51,40.08,-16.84,3.50,-0.03,1.57,-3.54,0.66
11246216,12.16,4.33,27.63,-29.88,3.62,4.41,34.86,-22.32,8.54,-0.08,-7.22,-7.56,7.79
11268732,7.81,4.11,26.21,-17.97,3.80,4.32,29.08,-19.41,4.01,-0.21,-2.86,1.44,0.66
11291076,7.96,4.00,23.45,-15.08,3.96,4.25,26.82,-17.67,4.00,-0.26,-3.37,2.59,1.40
11313400,11.05,3.70,32.79,-22.23,4.17,4.17,30.81,-20.71,6.88,-0.47,1.99,-1.52,1.15
11336000,17.53,1.92,27.82,-11.10,4.49,4.05,27.82,-11.11,13.04,-2.13,-0.00,0.01,3.44
11358644,16.67,2.02,14.69,-1.77,11.41,2.88,14.69,-1.77,5.26,-0.87,-0.00,0.00,0.25
11381072,6.49,4.28,23.01,-1.77,9.67,3.39,23.00,-1.77,-3.18,0.90,0.01,-0.00,0.14